LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NZL,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,48.143711,
NZL,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,51.172768,
NZL,EDUTRY,55_64_MEN,PC_AGE,A,2015,25.74103,
NZL,EDUTRY,55_64_MEN,PC_AGE,A,2016,26.805716,
NZL,EDUTRY,55_64_MEN,PC_AGE,A,2017,29.07456,
NZL,EDUTRY,55_64_MEN,PC_AGE,A,2018,30.937614,
NZL,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,29.07489,
NZL,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,29.560202,
NZL,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,29.852839,
NZL,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,29.881155,
NOR,EDUTRY,25_34_MEN,PC_AGE,A,2015,39.700996,
NOR,EDUTRY,25_34_MEN,PC_AGE,A,2016,40.295242,
NOR,EDUTRY,25_34_MEN,PC_AGE,A,2017,41.666668,
NOR,EDUTRY,25_34_MEN,PC_AGE,A,2018,40.696556,
NOR,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,57.034443,
NOR,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,57.339451,
NOR,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,55.340908,
NOR,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,56.066051,
NOR,EDUTRY,55_64_MEN,PC_AGE,A,2015,33.333332,
NOR,EDUTRY,55_64_MEN,PC_AGE,A,2016,32.598835,
NOR,EDUTRY,55_64_MEN,PC_AGE,A,2017,31.884985,
NOR,EDUTRY,55_64_MEN,PC_AGE,A,2018,32.945663,
NOR,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,32.37458,
NOR,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,33.355392,
NOR,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,34.512115,
NOR,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,35.638885,
POL,EDUTRY,25_34_MEN,PC_AGE,A,2015,34.041798,
POL,EDUTRY,25_34_MEN,PC_AGE,A,2016,33.870968,
POL,EDUTRY,25_34_MEN,PC_AGE,A,2017,33.785271,
POL,EDUTRY,25_34_MEN,PC_AGE,A,2018,33.825756,
POL,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,52.783966,
POL,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,53.551296,
POL,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,53.719326,
POL,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,53.663368,
POL,EDUTRY,55_64_MEN,PC_AGE,A,2015,12.156407,
POL,EDUTRY,55_64_MEN,PC_AGE,A,2016,12.093576,
POL,EDUTRY,55_64_MEN,PC_AGE,A,2017,12.894098,
POL,EDUTRY,55_64_MEN,PC_AGE,A,2018,12.758906,
POL,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,14.899515,
POL,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,15.499467,
POL,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,17.103348,
POL,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,17.627245,
PRT,EDUTRY,25_34_MEN,PC_AGE,A,2015,25.419878,
PRT,EDUTRY,25_34_MEN,PC_AGE,A,2016,26.873711,
PRT,EDUTRY,25_34_MEN,PC_AGE,A,2017,25.582279,
PRT,EDUTRY,25_34_MEN,PC_AGE,A,2018,25.723314,
PRT,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,40.619209,
PRT,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,42.855698,
PRT,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,42.264629,
PRT,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,44.25161,
PRT,EDUTRY,55_64_MEN,PC_AGE,A,2015,11.627037,
PRT,EDUTRY,55_64_MEN,PC_AGE,A,2016,11.679885,
PRT,EDUTRY,55_64_MEN,PC_AGE,A,2017,11.506812,
PRT,EDUTRY,55_64_MEN,PC_AGE,A,2018,11.890877,
PRT,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,13.954796,
PRT,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,14.447331,
PRT,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,14.71885,
